replies_count,retweets_count,likes_count,n_hashtag,tweet_count,volume,high_low_subs,open,label
1.0,1.0,2.0,3,1,7.782895,0.1999999999999993,27.43,0
3.0,6.0,14.0,2,1,74.511889,0.08999999999999986,27.34,0
2.0,0.0,1.0,1,1,9.448677,0.2699999999999996,27.43,0
0.0,0.0,0.0,0,0,71.035978,0.08999999999999986,27.64,0
8.0,8.0,30.0,1,1,1214.2220869999999,0.25,27.57,0
2.0,3.0,25.0,23,2,3.7992589999999997,0.13000000000000256,27.49,0
1.0,1.0,11.0,2,2,11.107238,0.07000000000000028,27.62,0
1.0,1.0,11.0,2,1,108.709775,0.17999999999999972,27.62,0
3.0,1.0,3.0,25,3,4.365913,0.07000000000000028,27.71,0
2.0,2.0,6.0,2,2,4.91889,0.08999999999999986,27.72,0
3.0,1.0,9.0,3,3,31.21623,0.07000000000000028,27.71,1
1.0,4.0,14.0,3,2,0.42933599999999994,0.0799999999999983,27.76,0
0.0,0.0,0.0,0,0,0.35742199999999996,0.11999999999999744,27.78,1
0.0,3.0,9.0,1,1,99.59784599999999,0.08999999999999986,27.9,1
17.0,6.0,66.0,6,6,3.6060199999999996,0.05000000000000071,27.88,1
16.0,14.0,58.0,8,7,6.979121000000001,0.09999999999999787,27.88,1
6.0,1.0,26.0,6,5,102.428112,0.08999999999999986,27.86,1
2.0,11.0,78.0,5,4,3.3585010000000004,0.16999999999999815,27.94,1
42.0,12.0,101.0,3,3,15.802082999999998,0.14999999999999858,28.11,1
6.0,1.0,34.0,13,6,9.200792,0.0799999999999983,28.24,1
4.0,2.0,4.0,4,4,36.815135999999995,0.16000000000000014,28.25,1
5.0,8.0,24.0,3,3,550.302705,0.1700000000000017,28.1,1
7.0,2.0,5.0,4,3,201.008792,0.25,28.09,1
7.0,1.0,7.0,3,3,74.222279,0.11999999999999744,27.94,1
0.0,0.0,0.0,0,0,0.284798,0.06999999999999673,27.99,1
9.0,0.0,9.0,2,2,0.0,0.0,27.96,1
9.0,0.0,4.0,5,5,4.997232,0.240000000000002,27.96,1
0.0,0.0,0.0,0,0,142.571867,0.21000000000000085,27.77,1
0.0,1.0,5.0,1,1,52.60714300000001,0.21999999999999886,27.7,1
14.0,8.0,66.0,3,3,32.95816625,0.09999999999999787,27.57,1
9.0,1.0,7.0,4,4,94.885754,0.11999999999999744,27.55,1
0.0,0.0,0.0,0,0,0.36243400000000003,0.2099999999999973,27.63,1
4.0,2.0,28.0,2,2,0.144092,0.18999999999999773,27.44,1
3.0,2.0,18.0,3,3,0.0,0.0,27.63,1
5.0,3.0,14.0,3,3,1.8769650000000002,0.07000000000000028,27.63,1
29.0,11.0,46.0,6,5,0.144092,0.07000000000000028,27.57,1
5.0,4.0,14.0,14,4,69.402375,0.120000000000001,27.6,1
0.0,0.0,0.0,0,0,11.148055000000001,0.14999999999999858,27.54,1
34.0,112.0,493.0,1,1,0.216971,0.14000000000000057,27.39,1
79.0,206.0,558.0,9,4,209.480557,0.17999999999999972,27.49,1
3.0,1.0,7.0,3,3,277.96590810000004,0.6799999999999997,27.37,1
3.0,9.0,35.0,42,4,201.81096000000002,0.33000000000000185,26.92,1
8.0,7.0,43.0,8,7,26.046985999999997,0.16000000000000014,26.7,1
5.0,14.0,69.0,7,5,23.80023,0.08999999999999986,26.8,1
3.0,2.0,10.0,7,2,82.111963,0.17999999999999972,26.87,1
9.0,15.0,63.0,3,3,3.106979,0.129999999999999,26.9,1
13.0,10.0,58.0,11,5,14.95377516,0.08999999999999986,27.02,1
1.0,1.0,6.0,2,2,14.453322,0.1700000000000017,26.97,1
8.0,6.0,61.0,16,5,0.221727,0.129999999999999,27.02,1
1.0,4.0,28.0,1,1,26.966623,0.16000000000000014,26.89,1
0.0,4.0,1.0,23,1,3.1741424,0.21999999999999886,26.76,1
1.0,9.0,41.0,10,3,46.363479999999996,0.120000000000001,26.98,1
0.0,0.0,0.0,0,0,82.025694,0.9899999999999984,26.87,1
14.0,18.0,78.0,4,4,11.269258,0.240000000000002,27.14,1
6.0,3.0,26.0,6,5,3.670632,0.0799999999999983,27.32,1
1.0,2.0,10.0,2,2,35.944077,0.14000000000000057,27.3,1
3.0,0.0,6.0,2,2,3.6098209999999997,0.41000000000000014,27.3,1
1.0,1.0,1.0,2,1,18.410375,0.35999999999999943,27.53,1
6.0,3.0,16.0,4,4,0.222071,0.16000000000000014,27.87,1
2.0,2.0,10.0,3,3,2.904007,0.15000000000000213,27.72,1
9.0,7.0,37.0,53,7,32.078689000000004,0.5799999999999983,27.85,1
2.0,0.0,1.0,1,1,7.070100999999999,0.07000000000000028,28.4,1
6.0,2.0,27.0,6,6,26.165809,0.25,28.33,1
3.0,1.0,2.0,2,2,15.41559787,0.1700000000000017,28.12,1
3.0,0.0,3.0,2,2,132.546001,0.28999999999999915,28.25,1
3.0,0.0,14.0,5,3,1.5283010000000001,0.1700000000000017,28.5,1
3.0,4.0,9.0,27,2,0.342888,0.16000000000000014,28.46,1
2.0,0.0,15.0,2,2,38.089359,0.15000000000000213,28.49,1
2.0,21.0,103.0,1,1,10.109182,0.22999999999999687,28.6,1
7.0,15.0,55.0,8,3,478.79674500000004,0.23000000000000043,28.42,1
0.0,0.0,0.0,0,0,18.26401,0.09999999999999787,28.31,1
3.0,0.0,29.0,4,4,94.199423,0.17999999999999972,28.3,1
0.0,0.0,0.0,0,0,30.293289,0.21000000000000085,28.36,1
0.0,0.0,0.0,0,0,112.970671,0.1999999999999993,28.25,1
1.0,1.0,5.0,1,1,4.631126999999999,0.05000000000000071,28.15,1
0.0,3.0,11.0,14,2,5.493589,0.15000000000000213,28.15,1
1.0,0.0,2.0,1,1,4.476822,0.08999999999999986,28.21,1
5.0,2.0,16.0,2,2,18.683941,0.120000000000001,28.3,1
28.0,38.0,147.0,3,3,58.373362,0.029999999999997584,28.32,1
1.0,6.0,13.0,25,3,38.096053000000005,0.11000000000000298,28.31,1
5.0,0.0,7.0,4,4,0.316695,0.09999999999999787,28.4,1
4.0,0.0,3.0,3,3,7.1424330000000005,0.019999999999999574,28.3,1
3.0,4.0,29.0,21,3,3.0,0.03999999999999915,28.29,1
1.0,0.0,9.0,1,1,4.10118,0.030000000000001137,28.25,1
0.0,3.0,2.0,8,1,0.0,0.0,28.22,1
0.0,0.0,0.0,0,0,62.133570999999996,0.129999999999999,28.22,1
9.0,1.0,9.0,7,7,80.14139200000001,0.240000000000002,28.19,1
5.0,0.0,6.0,4,2,0.530788,0.07000000000000028,28.1,1
1.0,0.0,4.0,1,1,25.357120000000002,0.0799999999999983,28.15,1
